observation,sender,sender_type,sender_id,x,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,gender,age,grad,drug,cof,cig,alc,bfi10_e1,bfi10_v2,bfi10_g1,bfi10_n1,bfi10_o1,bfi10_e2,bfi10_v1,bfi10_g2,bfi10_n2,bfi10_o2,story,option_a,option_b,story_number,risk_a,risk_b,fame_known,risk_oa,meme
169ac,welcome,html.Page,0_0,NA,form submission,60151.68,3354,3352.24,3468.32,63620,63626,2020-06-08T08:26:55Z,,,,,,,,,,,,,,,,,,,,,,,,,,NA
169ac,dem,html.Page,0_1,NA,form submission,65721.16,63630,63634.44,63684.84,129406,129408,2020-06-08T08:28:01Z,,,,,,,,,,,,,,,,,,,,,,,,,,NA
169ac,BFI-10,html.Page,0_2,NA,form submission,45476.6,129410,129400.44,129434.4,174911,174912,2020-06-08T08:28:46Z,,,,,,,,,,,,,,,,,,,,,,,,,,NA
169ac,Dem,flow.Sequence,0,NA,completion,171442.68,3354,3352.24,3468.32,174911,174914,2020-06-08T08:28:46Z,,,,,,,,,,,,,,,,,,,,,,,,,,NA
169ac,SitIntro,html.Page,1_0,NA,form submission,50943.5,174915,174906.72,174923.5,225867,225869,2020-06-08T08:29:37Z,,,,,,,,,,,,,,,,,,,,,,,,,,NA
169ac,Loop1,flow.Loop,1_1,NA,completion,354442.02,225870,225859.96,225913.98,580356,580360,2020-06-08T08:35:32Z,,,,,,,,,,,,,,,,,,,,,,,,,,NA
169ac,Progress,html.Page,1_2,NA,form submission,3784.08,580360,580349.5,580378.92,584163,584164,2020-06-08T08:35:36Z,,,,,,,,,,,,,,,,,,,,,,,,,,NA
17ed4,welcome,html.Page,0_0,NA,form submission,26460,1377,1392,1406,27866,27868,2020-06-06T21:05:37Z,,,,,,,,,,,,,,,,,,,,,,,,,,NA
17ed4,dem,html.Page,0_1,NA,form submission,29158,27870,27881,27894,57052,57053,2020-06-06T21:06:06Z,,,,,,,,,,,,,,,,,,,,,,,,,,NA
17ed4,BFI-10,html.Page,0_2,NA,form submission,35154,57054,57099,57212,92366,92367,2020-06-06T21:06:41Z,,,,,,,,,,,,,,,,,,,,,,,,,,NA
17ed4,Dem,flow.Sequence,0,NA,completion,90960,1376,1392,1406,92366,92369,2020-06-06T21:06:41Z,,,,,,,,,,,,,,,,,,,,,,,,,,NA
17ed4,SitIntro,html.Page,1_0,NA,form submission,19239,92370,92385,92401,111640,111641,2020-06-06T21:07:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,NA
17ed4,Loop1,flow.Loop,1_1,NA,completion,262451,111642,111650,111717,374168,374171,2020-06-06T21:11:23Z,,,,,,,,,,,,,,,,,,,,,,,,,,NA
17ed4,Progress,html.Page,1_2,NA,form submission,4520,374172,374181,374192,378712,378714,2020-06-06T21:11:27Z,,,,,,,,,,,,,,,,,,,,,,,,,,NA
2250c,welcome,html.Page,0_0,NA,form submission,113085,951,963,976,114061,114062,2020-06-10T13:46:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,NA
2250c,dem,html.Page,0_1,NA,form submission,54612,114062,114088,114101,168713,168713,2020-06-10T13:46:55Z,,,,,,,,,,,,,,,,,,,,,,,,,,NA
2250c,BFI-10,html.Page,0_2,NA,form submission,64433,168714,168735,168749,233182,233182,2020-06-10T13:47:59Z,,,,,,,,,,,,,,,,,,,,,,,,,,NA
2250c,Dem,flow.Sequence,0,NA,completion,232206,951,963,976,233182,233183,2020-06-10T13:47:59Z,,,,,,,,,,,,,,,,,,,,,,,,,,NA
2250c,SitIntro,html.Page,1_0,NA,form submission,52830,233183,233194,233206,286036,286037,2020-06-10T13:48:52Z,,,,,,,,,,,,,,,,,,,,,,,,,,NA
2250c,Loop1,flow.Loop,1_1,NA,completion,418912,286037,286053,286091,705003,705004,2020-06-10T13:55:51Z,,,,,,,,,,,,,,,,,,,,,,,,,,NA
2250c,Progress,html.Page,1_2,NA,form submission,4700,705004,705009,705025,709725,709726,2020-06-10T13:55:56Z,,,,,,,,,,,,,,,,,,,,,,,,,,NA
2250c,Loop2,flow.Loop,1_3,NA,completion,304833,709726,709736,709754,1014587,1014588,2020-06-10T14:01:01Z,,,,,,,,,,,,,,,,,,,,,,,,,,NA
2250c,Progress,html.Page,1_4,NA,form submission,3990,1014588,1014593,1014607,1018597,1018597,2020-06-10T14:01:05Z,,,,,,,,,,,,,,,,,,,,,,,,,,NA
2250c,Loop3,flow.Loop,1_5,NA,completion,289776,1018598,1018608,1018626,1308402,1308402,2020-06-10T14:05:54Z,,,,,,,,,,,,,,,,,,,,,,,,,,NA
2250c,Risk_assessment,flow.Sequence,1,NA,completion,1075196,233183,233194,233206,1308402,1308402,2020-06-10T14:05:54Z,,,,,,,,,,,,,,,,,,,,,,,,,,NA
2250c,vp,html.Page,2_0_0,NA,form submission,201525,1308403,1308409,1308474,1509999,1509999,2020-06-10T14:09:16Z,,,,,,,,,,,,,,,,,,,,,,,,,,static/2.jpeg
2250c,loop,flow.Loop,2_0,NA,completion,201525,1308403,1308409,1308474,1509999,1510000,2020-06-10T14:09:16Z,,,,,,,,,,,,,,,,,,,,,,,,,,NA
2f12c,welcome,html.Page,0_0,NA,form submission,87944.008000054,1263.7850000756,1253.725,1303.767,89247.775000054,89249.715000042,2020-06-19T16:45:30Z,,,,,,,,,,,,,,,,,,,,,,,,,,NA
2f12c,dem,html.Page,0_1,NA,form submission,66003.878000001,89250.005000038,89231.283,89280.277,155284.155,155284.51999999,2020-06-19T16:46:36Z,,,,,,,,,,,,,,,,,,,,,,,,,,NA
2f12c,BFI-10,html.Page,0_2,NA,form submission,57358.263000067,155284.72500003,155267.907,155316.862,212675.12500007,212675.46000006,2020-06-19T16:47:34Z,,,,,,,,,,,,,,,,,,,,,,,,,,NA
2f12c,Dem,flow.Sequence,0,NA,completion,211371.35800007,1263.7400000822,1253.725,1303.767,212675.12500007,212676.905,2020-06-19T16:47:34Z,,,,,,,,,,,,,,,,,,,,,,,,,,NA
2f12c,SitIntro,html.Page,1_0,NA,form submission,92503.212000085,212677.06500005,212661.745,212694.298,305197.51000009,305197.79500004,2020-06-19T16:49:06Z,,,,,,,,,,,,,,,,,,,,,,,,,,NA
2f12c,Loop1,flow.Loop,1_1,NA,completion,599216.73300003,305197.94500002,305194.201,305225.617,904442.35000003,904443.07500008,2020-06-19T16:59:06Z,,,,,,,,,,,,,,,,,,,,,,,,,,NA
2f12c,Progress,html.Page,1_2,NA,form submission,6447.8829999918,904443.15499999,904427.766,904460.277,910908.15999999,910908.42500003,2020-06-19T16:59:12Z,,,,,,,,,,,,,,,,,,,,,,,,,,NA
2f12c,Loop2,flow.Loop,1_3,NA,completion,477040.89699999,910908.53000002,910901.823,910933.768,1387974.665,1387975.3,2020-06-19T17:07:09Z,,,,,,,,,,,,,,,,,,,,,,,,,,NA
2f12c,Progress,html.Page,1_4,NA,form submission,2790.45600002,1387975.375,1387956.29,1387989.069,1390779.525,1390779.78,2020-06-19T17:07:12Z,,,,,,,,,,,,,,,,,,,,,,,,,,NA
2f12c,Loop3,flow.Loop,1_5,NA,completion,389499.04,1390779.8850001,1390776.465,1390808.72,1780307.76,1780308.31,2020-06-19T17:13:41Z,,,,,,,,,,,,,,,,,,,,,,,,,,NA
2f12c,Risk_assessment,flow.Sequence,1,NA,completion,1567613.462,212677.02499998,212661.745,212694.298,1780307.76,1780308.405,2020-06-19T17:13:41Z,,,,,,,,,,,,,,,,,,,,,,,,,,NA
2f12c,vp,html.Page,2_0_0,NA,form submission,191488.57400004,1780308.525,1780288.792,1780337.966,1971826.54,1971826.81,2020-06-19T17:16:53Z,,,,,,,,,,,,,,,,,,,,,,,,,,static/3.jpeg
2f12c,loop,flow.Loop,2_0,NA,completion,191488.57400004,1780308.5,1780288.792,1780337.966,1971826.54,1971826.995,2020-06-19T17:16:53Z,,,,,,,,,,,,,,,,,,,,,,,,,,NA
34e2c,welcome,html.Page,0_0,NA,form submission,77530.583999959,743.71499998961,743.53,776.896,78307.479999959,78309.584999923,2020-06-19T21:40:03Z,,,,,,,,,,,,,,,,,,,,,,,,,,NA
50cdb,welcome,html.Page,0_0,NA,form submission,4928.92,990,1003.42,1020.08,5949,5949,2020-06-08T22:01:51Z,,,,,,,,,,,,,,,,,,,,,,,,,,NA
50cdb,dem,html.Page,0_1,NA,form submission,46069.56,5950,5952.78,5969.44,52039,52040,2020-06-08T22:02:37Z,,,,,,,,,,,,,,,,,,,,,,,,,,NA
50cdb,BFI-10,html.Page,0_2,NA,form submission,14300.34,52043,52047,52063.66,66364,66365,2020-06-08T22:02:51Z,,,,,,,,,,,,,,,,,,,,,,,,,,NA
50cdb,Dem,flow.Sequence,0,NA,completion,65343.92,990,1003.42,1020.08,66364,66366,2020-06-08T22:02:51Z,,,,,,,,,,,,,,,,,,,,,,,,,,NA
50cdb,SitIntro,html.Page,1_0,NA,form submission,3124.64,66366,66361.7,66378.36,69503,69504,2020-06-08T22:02:55Z,,,,,,,,,,,,,,,,,,,,,,,,,,NA
659a2,welcome,html.Page,0_0,NA,form submission,45476,1043,1055,1068,46544,46545,2020-06-25T22:33:31Z,,,,,,,,,,,,,,,,,,,,,,,,,,NA
659a2,dem,html.Page,0_1,NA,form submission,78794,46545,46556,46583,125377,125378,2020-06-25T22:34:50Z,,,,,,,,,,,,,,,,,,,,,,,,,,NA
659a2,BFI-10,html.Page,0_2,NA,form submission,119196,125378,125414,125448,244644,244645,2020-06-25T22:36:49Z,,,,,,,,,,,,,,,,,,,,,,,,,,NA
659a2,Dem,flow.Sequence,0,NA,completion,243576,1042,1055,1068,244644,244648,2020-06-25T22:36:49Z,,,,,,,,,,,,,,,,,,,,,,,,,,NA
659a2,SitIntro,html.Page,1_0,NA,form submission,80594,244649,244660,244671,325265,325265,2020-06-25T22:38:10Z,,,,,,,,,,,,,,,,,,,,,,,,,,NA
659a2,Loop1,flow.Loop,1_1,NA,completion,333315,325266,325290,325327,658642,658645,2020-06-25T22:43:43Z,,,,,,,,,,,,,,,,,,,,,,,,,,NA
659a2,Progress,html.Page,1_2,NA,form submission,5520,658645,658652,658666,664186,664188,2020-06-25T22:43:49Z,,,,,,,,,,,,,,,,,,,,,,,,,,NA
659a2,Loop2,flow.Loop,1_3,NA,completion,393858,664188,664207,664233,1058091,1058093,2020-06-25T22:50:23Z,,,,,,,,,,,,,,,,,,,,,,,,,,NA
659a2,Progress,html.Page,1_4,NA,form submission,3427,1058094,1058103,1058111,1061538,1061539,2020-06-25T22:50:26Z,,,,,,,,,,,,,,,,,,,,,,,,,,NA
659a2,Loop3,flow.Loop,1_5,NA,completion,323742,1061540,1061558,1061590,1385332,1385335,2020-06-25T22:55:50Z,,,,,,,,,,,,,,,,,,,,,,,,,,NA
659a2,Risk_assessment,flow.Sequence,1,NA,completion,1140661,244648,244660,244671,1385332,1385335,2020-06-25T22:55:50Z,,,,,,,,,,,,,,,,,,,,,,,,,,NA
659a2,vp,html.Page,2_0_0,NA,form submission,47989,1385335,1385345,1385404,1433393,1433396,2020-06-25T22:56:38Z,,,,,,,,,,,,,,,,,,,,,,,,,,static/2.jpeg
659a2,loop,flow.Loop,2_0,NA,completion,47989,1385335,1385345,1385404,1433393,1433397,2020-06-25T22:56:38Z,,,,,,,,,,,,,,,,,,,,,,,,,,NA
67719,welcome,html.Page,0_0,NA,form submission,26609,959,994,1000,27609,27610,2020-06-10T10:09:53Z,,,,,,,,,,,,,,,,,,,,,,,,,,NA
67719,dem,html.Page,0_1,NA,form submission,38712,27610,27661,27669,66381,66381,2020-06-10T10:10:31Z,,,,,,,,,,,,,,,,,,,,,,,,,,NA
67719,BFI-10,html.Page,0_2,NA,form submission,74574,66381,66405,66419,140993,140993,2020-06-10T10:11:46Z,,,,,,,,,,,,,,,,,,,,,,,,,,NA
67719,Dem,flow.Sequence,0,NA,completion,139993,959,994,1000,140993,140993,2020-06-10T10:11:46Z,,,,,,,,,,,,,,,,,,,,,,,,,,NA
67719,SitIntro,html.Page,1_0,NA,form submission,49412,140994,141023,141039,190451,190451,2020-06-10T10:12:36Z,,,,,,,,,,,,,,,,,,,,,,,,,,NA
67719,Loop1,flow.Loop,1_1,NA,completion,364609,190452,190486,190493,555102,555102,2020-06-10T10:18:40Z,,,,,,,,,,,,,,,,,,,,,,,,,,NA
67719,Progress,html.Page,1_2,NA,form submission,4718,555102,555117,555133,559851,559851,2020-06-10T10:18:45Z,,,,,,,,,,,,,,,,,,,,,,,,,,NA
67719,Loop2,flow.Loop,1_3,NA,completion,347223,559851,559877,559887,907110,907111,2020-06-10T10:24:32Z,,,,,,,,,,,,,,,,,,,,,,,,,,NA
67719,Progress,html.Page,1_4,NA,form submission,2186,907111,907132,907149,909335,909335,2020-06-10T10:24:34Z,,,,,,,,,,,,,,,,,,,,,,,,,,NA
67719,Loop3,flow.Loop,1_5,NA,completion,249194,909336,909359,909365,1158559,1158560,2020-06-10T10:28:44Z,,,,,,,,,,,,,,,,,,,,,,,,,,NA
67719,Risk_assessment,flow.Sequence,1,NA,completion,1017520,140994,141023,141039,1158559,1158560,2020-06-10T10:28:44Z,,,,,,,,,,,,,,,,,,,,,,,,,,NA
67719,vp,html.Page,2_0_0,NA,form submission,40848,1158560,1158586,1158602,1199450,1199451,2020-06-10T10:29:25Z,,,,,,,,,,,,,,,,,,,,,,,,,,static/4.jpeg
67719,loop,flow.Loop,2_0,NA,completion,40848,1158560,1158586,1158602,1199450,1199451,2020-06-10T10:29:25Z,,,,,,,,,,,,,,,,,,,,,,,,,,NA
6b27e,welcome,html.Page,0_0,NA,form submission,2051346.62,1493,1505.72,1522.38,2052869,2052870,2020-06-08T17:40:40Z,,,,,,,,,,,,,,,,,,,,,,,,,,NA
6b27e,dem,html.Page,0_1,NA,form submission,29039.54,2052872,2052876.8,2052893.46,2081933,2081933,2020-06-08T17:41:09Z,,,,,,,,,,,,,,,,,,,,,,,,,,NA
6b27e,BFI-10,html.Page,0_2,NA,form submission,31431.6,2081934,2081939.74,2081956.4,2113388,2113388,2020-06-08T17:41:41Z,,,,,,,,,,,,,,,,,,,,,,,,,,NA
6b27e,Dem,flow.Sequence,0,NA,completion,2111865.62,1493,1505.72,1522.38,2113388,2113389,2020-06-08T17:41:41Z,,,,,,,,,,,,,,,,,,,,,,,,,,NA
6b27e,SitIntro,html.Page,1_0,NA,form submission,55434.9,2113390,2113402.42,2113419.1,2168854,2168854,2020-06-08T17:42:36Z,,,,,,,,,,,,,,,,,,,,,,,,,,NA
6b27e,Loop1,flow.Loop,1_1,NA,completion,257643.26,2168855,2168862.06,2168878.74,2426522,2426524,2020-06-08T17:46:54Z,,,,,,,,,,,,,,,,,,,,,,,,,,NA
6b27e,Progress,html.Page,1_2,NA,form submission,2919.2599999998,2426524,2426529.08,2426545.74,2429465,2429465,2020-06-08T17:46:57Z,,,,,,,,,,,,,,,,,,,,,,,,,,NA
6b27e,Loop2,flow.Loop,1_3,NA,completion,218086.58,2429466,2429478.76,2429495.42,2647582,2647583,2020-06-08T17:50:35Z,,,,,,,,,,,,,,,,,,,,,,,,,,NA
6b27e,Progress,html.Page,1_4,NA,form submission,2087.1800000002,2647583,2647584.14,2647600.82,2649688,2649689,2020-06-08T17:50:37Z,,,,,,,,,,,,,,,,,,,,,,,,,,NA
6b27e,Loop3,flow.Loop,1_5,NA,completion,168727.8,2649689,2649700.54,2649717.2,2818445,2818447,2020-06-08T17:53:26Z,,,,,,,,,,,,,,,,,,,,,,,,,,NA
6b27e,Risk_assessment,flow.Sequence,1,NA,completion,705025.9,2113390,2113402.42,2113419.1,2818445,2818447,2020-06-08T17:53:26Z,,,,,,,,,,,,,,,,,,,,,,,,,,NA
6d2f6,welcome,html.Page,0_0,NA,form submission,48570.86,1233,1242.48,1259.14,49830,49832,2020-06-05T08:11:24Z,,,,,,,,,,,,,,,,,,,,,,,,,,NA
6d2f6,dem,html.Page,0_1,NA,form submission,36650.12,49833,49833.2,49849.88,86500,86501,2020-06-05T08:12:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,NA
6d2f6,BFI-10,html.Page,0_2,NA,form submission,77507.64,86502,86509.7,86526.36,164034,164035,2020-06-05T08:13:18Z,,,,,,,,,,,,,,,,,,,,,,,,,,NA
6d2f6,Dem,flow.Sequence,0,NA,completion,162774.86,1233,1242.48,1259.14,164034,164036,2020-06-05T08:13:18Z,,,,,,,,,,,,,,,,,,,,,,,,,,NA
6d2f6,SitIntro,html.Page,1_0,NA,form submission,63843,164037,164045.34,164062,227905,227906,2020-06-05T08:14:22Z,,,,,,,,,,,,,,,,,,,,,,,,,,NA
6d2f6,Loop1,flow.Loop,1_1,NA,completion,417899,227907,227916.34,227933,645832,645834,2020-06-05T08:21:20Z,,,,,,,,,,,,,,,,,,,,,,,,,,NA
6d2f6,Progress,html.Page,1_2,NA,form submission,6528.5600000001,645834,645837.78,645854.44,652383,652383,2020-06-05T08:21:26Z,,,,,,,,,,,,,,,,,,,,,,,,,,NA
6d2f6,Loop2,flow.Loop,1_3,NA,completion,364690.98,652383,652386.36,652403.02,1017094,1017094,2020-06-05T08:27:31Z,,,,,,,,,,,,,,,,,,,,,,,,,,NA
6d2f6,Progress,html.Page,1_4,NA,form submission,3407.3199999999,1017095,1017101,1017117.68,1020525,1020525,2020-06-05T08:27:34Z,,,,,,,,,,,,,,,,,,,,,,,,,,NA
6d2f6,Loop3,flow.Loop,1_5,NA,completion,337453.74,1020525,1020533.6,1020550.26,1358004,1358006,2020-06-05T08:33:12Z,,,,,,,,,,,,,,,,,,,,,,,,,,NA
6d2f6,Risk_assessment,flow.Sequence,1,NA,completion,1193942,164037,164045.34,164062,1358004,1358007,2020-06-05T08:33:12Z,,,,,,,,,,,,,,,,,,,,,,,,,,NA
70d93,welcome,html.Page,0_0,NA,form submission,4809.4019999525,1520.2849999769,1515.481,1548.973,6358.3749999525,6360.875000013,2020-06-05T11:06:54Z,,,,,,,,,,,,,,,,,,,,,,,,,,NA
70d93,dem,html.Page,0_1,NA,form submission,63309.498999965,6361.9949999265,6339.34,6406.311,69715.809999965,69716.69999999,2020-06-05T11:07:58Z,,,,,,,,,,,,,,,,,,,,,,,,,,NA
70d93,BFI-10,html.Page,0_2,NA,form submission,34363.57000003,69717.739999993,69701.696,69802.01,104165.58000003,104166.58999992,2020-06-05T11:08:32Z,,,,,,,,,,,,,,,,,,,,,,,,,,NA
70d93,Dem,flow.Sequence,0,NA,completion,102616.60700003,1520.2000000281,1515.481,1548.973,104165.58000003,104172.58499993,2020-06-05T11:08:32Z,,,,,,,,,,,,,,,,,,,,,,,,,,NA
70d93,SitIntro,html.Page,1_0,NA,form submission,57356.052000005,104173.04999998,104153.726,104204.033,161560.085,161560.47499995,2020-06-05T11:09:29Z,,,,,,,,,,,,,,,,,,,,,,,,,,NA
70d93,Loop1,flow.Loop,1_1,NA,completion,370596.75700002,161560.83500001,161556.964,161607.258,532204.01500002,532206.37999999,2020-06-05T11:15:40Z,,,,,,,,,,,,,,,,,,,,,,,,,,NA
70d93,Progress,html.Page,1_2,NA,form submission,2848.7109999213,532206.72000002,532183.124,532233.394,535082.10499992,535082.39499992,2020-06-05T11:15:43Z,,,,,,,,,,,,,,,,,,,,,,,,,,NA
70d93,Loop2,flow.Loop,1_3,NA,completion,295398.29800002,535082.57500001,535070.817,535121.152,830519.45000002,830520.40499996,2020-06-05T11:20:38Z,,,,,,,,,,,,,,,,,,,,,,,,,,NA
70d93,Progress,html.Page,1_4,NA,form submission,7201.0319999706,830520.54499998,830500.12,830550.493,837751.52499997,837752.4,2020-06-05T11:20:46Z,,,,,,,,,,,,,,,,,,,,,,,,,,NA
70d93,Loop3,flow.Loop,1_5,NA,completion,338097.38099995,837752.80999998,837744.43,837811.339,1175908.7199999,1175909.8049999,2020-06-05T11:26:24Z,,,,,,,,,,,,,,,,,,,,,,,,,,NA
70d93,Risk_assessment,flow.Sequence,1,NA,completion,1071704.6869999,104172.93,104153.726,104204.033,1175908.7199999,1175910.0649999,2020-06-05T11:26:24Z,,,,,,,,,,,,,,,,,,,,,,,,,,NA
70d93,vp,html.Page,2_0_0,NA,form submission,380926.45799992,1175910.5199999,1175904.759,1175955.167,1556881.6249999,1556884.52,2020-06-05T11:32:45Z,,,,,,,,,,,,,,,,,,,,,,,,,,static/3.jpeg
70d93,loop,flow.Loop,2_0,NA,completion,380926.45799992,1175910.4599999,1175904.759,1175955.167,1556881.6249999,1556887.195,2020-06-05T11:32:45Z,,,,,,,,,,,,,,,,,,,,,,,,,,NA
9445e,welcome,html.Page,0_0,NA,form submission,2549912.4,1233,1249,1298.6,2551211,2551214,2020-06-23T10:38:04Z,,,,,,,,,,,,,,,,,,,,,,,,,,NA
95d42,welcome,html.Page,0_0,NA,form submission,107106.12,808,818.2,834.88,107941,107942,2020-06-23T14:16:04Z,,,,,,,,,,,,,,,,,,,,,,,,,,NA
95d42,dem,html.Page,0_1,NA,form submission,76558.28,107943,107942.08,107958.72,184517,184518,2020-06-23T14:17:21Z,,,,,,,,,,,,,,,,,,,,,,,,,,NA
95d42,BFI-10,html.Page,0_2,NA,form submission,44664.72,184520,184523.46,184573.28,229238,229240,2020-06-23T14:18:06Z,,,,,,,,,,,,,,,,,,,,,,,,,,NA
95d42,Dem,flow.Sequence,0,NA,completion,228403.12,807,818.2,834.88,229238,229242,2020-06-23T14:18:06Z,,,,,,,,,,,,,,,,,,,,,,,,,,NA
95d42,SitIntro,html.Page,1_0,NA,form submission,69083.5,229243,229245.84,229262.5,298346,298347,2020-06-23T14:19:15Z,,,,,,,,,,,,,,,,,,,,,,,,,,NA
95d42,Loop1,flow.Loop,1_1,NA,completion,379781.42,298348,298345.66,298395.58,678177,678180,2020-06-23T14:25:35Z,,,,,,,,,,,,,,,,,,,,,,,,,,NA
95d42,Progress,html.Page,1_2,NA,form submission,6462.1800000001,678180,678186.26,678202.82,684665,684666,2020-06-23T14:25:41Z,,,,,,,,,,,,,,,,,,,,,,,,,,NA
95d42,Loop2,flow.Loop,1_3,NA,completion,422604.74,684668,684667.94,684701.26,1107306,1107309,2020-06-23T14:32:44Z,,,,,,,,,,,,,,,,,,,,,,,,,,NA
95d42,Progress,html.Page,1_4,NA,form submission,6454.5800000001,1107309,1107314.74,1107331.42,1113786,1113786,2020-06-23T14:32:50Z,,,,,,,,,,,,,,,,,,,,,,,,,,NA
95d42,Loop3,flow.Loop,1_5,NA,completion,327577.18,1113787,1113796.86,1113829.82,1441407,1441408,2020-06-23T14:38:18Z,,,,,,,,,,,,,,,,,,,,,,,,,,NA
95d42,Risk_assessment,flow.Sequence,1,NA,completion,1212144.5,229243,229245.84,229262.5,1441407,1441409,2020-06-23T14:38:18Z,,,,,,,,,,,,,,,,,,,,,,,,,,NA
95d42,vp,html.Page,2_0_0,NA,form submission,23201.78,1441410,1441416.62,1441433.22,1464635,1464636,2020-06-23T14:38:41Z,,,,,,,,,,,,,,,,,,,,,,,,,,static/2.jpeg
95d42,loop,flow.Loop,2_0,NA,completion,23201.78,1441410,1441416.62,1441433.22,1464635,1464638,2020-06-23T14:38:41Z,,,,,,,,,,,,,,,,,,,,,,,,,,NA
97f94,welcome,html.Page,0_0,NA,form submission,339791.68,964,965.18,982.32,340774,340776,2020-06-03T16:14:45Z,,,,,,,,,,,,,,,,,,,,,,,,,,NA
97f94,dem,html.Page,0_1,NA,form submission,236695.18,340777,340763.12,341090.82,577786,577788,2020-06-03T16:18:42Z,,,,,,,,,,,,,,,,,,,,,,,,,,NA
97f94,BFI-10,html.Page,0_2,NA,form submission,108999.6,577788,577789.1,577806.4,686806,686807,2020-06-03T16:20:31Z,,,,,,,,,,,,,,,,,,,,,,,,,,NA
97f94,Dem,flow.Sequence,0,NA,completion,685823.68,964,965.18,982.32,686806,686809,2020-06-03T16:20:31Z,,,,,,,,,,,,,,,,,,,,,,,,,,NA
97f94,SitIntro,html.Page,1_0,NA,form submission,123001.94,686810,686814.36,686831.06,809833,809834,2020-06-03T16:22:34Z,,,,,,,,,,,,,,,,,,,,,,,,,,NA
97f94,Loop1,flow.Loop,1_1,NA,completion,496261.4,809834,809831.42,809858.6,1306120,1306123,2020-06-03T16:30:50Z,,,,,,,,,,,,,,,,,,,,,,,,,,NA
